Router1,Router2,Cost,Capacity
BANGALORE-PP-05,ERNAKULAM-PP-02,0.49675,40
BANGALORE-PP-05,HUBLI-PP-01,0.3165,40
BANGALORE-PP-05,HYDERABAD-PP-02,0.749,20
BANGALORE-PP-05,KURNOOL-PP-01,0.651,20
BANGALORE-PP-05,MADURAI-PP-02,0.696,10
BANGALORE-PP-05,MUMBAI-PP-05,0.5438,50
BANGALORE-PP-05,NAGPUR-PP-04,0.877666667,30
BANGALORE-PP-05,SECUNDERABAD-PP-01,0.462,10
BANGALORE-PP-06,BANGALORE-VRR-02,0,10
BANKURA-PE-01,DURGAPUR-PP-02,0.328,10
BANKURA-PE-01,KOLKATA-PP-06,0.054,10
BAREILLY-PE-01,DEHRADUN-PP-02,0.011,10
BAREILLY-PE-01,LUCKNOW-PP-04,0.111,10
BAREILLY-PE-01,MORADABAD-PP-01,0.12,10
BAREILLY-PE-02,AGRA-PP-02,0.063,10
BAREILLY-PE-02,DEHRADUN-PP-02,0.045,10
BAREILLY-PE-02,LUCKNOW-PP-04,0.484,10
BAREILLY-PE-02,MORADABAD-PP-01,0.477,10
BASTI-PE-01,GORAKHPUR-PP-01,0.083,20
BASTI-PE-01,LUCKNOW-PP-04,0.03,5
BELAPUR-PE-01,MUMBAI-PP-06,0.176083333,120
BELAPUR-PE-01,MUMBAI-PP-07,0.031916667,120
BELAPUR-PE-01,PUNE-PP-04,0,60
BELGAUM-PE-02,HUBLI-PP-01,0.557,10
BELGAUM-PE-02,MANGALORE-PP-02,0.44,10
BELGAUM-PE-03,BANGALORE-PP-07,0.133,10
BELGAUM-PE-03,HUBLI-PP-01,0.180666667,30
BELGAUM-PE-03,HYDERABAD-PP-02,0.005,10
BELLARY-PE-01,HUBLI-PP-01,0.044,10
BELLARY-PE-01,HYDERABAD-PP-02,0.533,10
BELLARY-PE-01,KURNOOL-PP-01,0.548,10
BERHAMPORE-PE-01,DURGAPUR-PP-02,0.523,10
BERHAMPORE-PE-01,KOLKATA-PP-06,0.122,10
BERHAMPUR-PE-01,BHUBANESWAR-PP-02,0.26,10
BERHAMPUR-PE-01,SAMBALPUR-PP-02,0.345,10
BERHAMPUR-PE-02,BHUBANESWAR-PP-02,0.6475,20
BERHAMPUR-PE-02,SAMBALPUR-PP-02,0.438,10
BHAGALPUR-PE-01,BHAGALPUR-PP-01,0.014,20
BHAGALPUR-PE-01,PATNA-PP-02,0,10
BHAGALPUR-PE-03,BHAGALPUR-PP-01,0.381,20
BHAGALPUR-PE-03,PATNA-PP-02,0.244,10
BHAGALPUR-PP-01,DURGAPUR-PP-02,0.019,10
BHAGALPUR-PP-01,KOLKATA-PP-05,0.696666667,30
BHAGALPUR-PP-01,PATNA-PP-02,0.05,20
BHAGALPUR-PP-01,RANCHI-PP-02,0.016,10
BHAGALPUR-PP-01,SILIGURI-PP-02,0.3245,20
BHANDARA-PE-01,NAGPUR-PP-03,0.555,10
BHANDARA-PE-01,NAGPUR-PP-04,0.234,10
BHARUCH-PE-01,AHMEDABAD-PP-02,0,10
BHARUCH-PE-01,SURAT-PP-01,0.289,10
BHATINDA-PE-01,BHATINDA-PP-01,0.409,30
BHATINDA-PE-01,CHANDIGARH-PP-04,0.86,10
BHATINDA-PP-01,CHANDIGARH-PP-03,0.071,20
BHATINDA-PP-01,GURGAON-PP-01,0.138,10
BHATINDA-PP-01,JAIPUR-PP-02,0.01,20
BHATINDA-PP-01,JALANDHAR-PP-02,0,20
BHATINDA-PP-01,NEWDELHI-PP-04,0.758363636,110
BHAVNAGAR-PE-01,AHMEDABAD-PP-02,0.288,10
BHAVNAGAR-PE-01,RAJKOT-PP-02,0.346,15
BHILWARA-PE-01,JAIPUR-PP-02,0.3965,20
BHILWARA-PE-01,UDAIPUR-PP-01,0.094,10
BHOPAL-GSMPE-01,BHOPAL-PP-02,0.0725,20
BHOPAL-GSMPE-01,INDORE-PP-02,0.079,10
BHOPAL-GSMPE-02,BHOPAL-PP-02,0.629,30
BHOPAL-GSMPE-02,INDORE-PP-02,0.0255,20
BHOPAL-PE-02,BHOPAL-PP-02,0.0355,20
BHOPAL-PE-02,INDORE-PP-02,0.002,10
BHOPAL-PE-03,BHOPAL-PP-02,0.185,30
BHOPAL-PE-03,INDORE-PP-02,0.436,10
BHOPAL-PE-04,BHOPAL-PP-02,0.094333333,30
BHOPAL-PE-04,INDORE-PP-02,0.145,10
BHOPAL-PE-05,BHOPAL-PP-02,0.162692308,130
BHOPAL-PE-05,INDORE-PP-02,0.005666667,120
BHOPAL-PE-06,BHOPAL-PP-02,0.0894,100
BHOPAL-PE-06,INDORE-PP-02,0.277,10
BHOPAL-PP-02,INDORE-PP-02,0.463,40
BHOPAL-PP-02,JABALPUR-PP-02,0.2145,20
BHOPAL-PP-02,JHANSI-PP-01,0.002,10
BHOPAL-PP-02,MUMBAI-PP-04,0.642,20
BHOPAL-PP-02,MUMBAI-PP-05,0.346428571,70
BHOPAL-PP-02,NAGPUR-PP-03,0.208166667,60
BHOPAL-PP-02,NEWDELHI-PP-04,0.471,20
BHOPAL-PP-02,RAIPUR-PP-02,0.061,10
BHUBANESWAR-GSMPE-01,BHUBANESWAR-PP-02,0.2934,50
BHUBANESWAR-GSMPE-01,CUTTACK-PP-01,0.0044,50
BHUBANESWAR-GSMPE-02,BHUBANESWAR-PP-02,0.0332,50
BHUBANESWAR-GSMPE-02,CUTTACK-PP-01,0,50
BHUBANESWAR-GSMPE-03,BHUBANESWAR-PP-02,0.04,20
BHUBANESWAR-GSMPE-03,CUTTACK-PP-01,0,20
BHUBANESWAR-PE-03,BHUBANESWAR-PP-02,0.125,20
BHUBANESWAR-PE-04,BHUBANESWAR-PP-02,0.168,20
BHUBANESWAR-PE-05,BHUBANESWAR-PP-02,0,10
BHUBANESWAR-PE-05,CUTTACK-PP-01,0,10
BHUBANESWAR-PE-06,BHUBANESWAR-PP-02,0.2131,100
BHUBANESWAR-PE-06,CUTTACK-PP-01,0.114,10
BHUBANESWAR-PP-02,CHENNAI-PP-04,0.30575,40
BHUBANESWAR-PP-02,CHENNAI-PP-05,0.686666667,30
BHUBANESWAR-PP-02,CUTTACK-PP-01,0.1124,50
BHUBANESWAR-PP-02,KOLKATA-PP-04,0.752,30
BHUBANESWAR-PP-02,KOLKATA-PP-05,0.703666667,30
BHUBANESWAR-PP-02,NAGPUR-PP-03,0.378,10
BHUBANESWAR-PP-02,NAGPUR-PP-04,0.356,10
BHUBANESWAR-PP-02,RAIPUR-PP-02,0.073,10
BHUBANESWAR-PP-02,RANCHI-PP-02,0.324,10
BHUBANESWAR-PP-02,SAMBALPUR-PP-02,0.4895,20
BHUBANESWAR-PP-02,VIZAG-PP-02,0.026,10
BHUJ-PE-01,AHMEDABAD-PP-02,0.1905,20
BHUJ-PE-01,RAJKOT-PP-02,0.320363636,27.5
BHUJ-PE-02,AHMEDABAD-PP-02,0,10
BHUJ-PE-02,RAJKOT-PP-02,0,10
BIJAPUR-PE-01,HUBLI-PP-01,0.272,20
BIJAPUR-PE-01,HYDERABAD-PP-02,0.487,10
BIKANER-PE-01,JAIPUR-PP-02,0.599,10
BIKANER-PE-01,JALANDHAR-PP-02,0.24,10
BIKANER-PE-01,JODHPUR-PP-02,0.024,2.5
BIKANER-PE-02,JAIPUR-PP-02,0.462,20
BIKANER-PE-02,JODHPUR-PP-02,0,10
BILASPUR-PE-02,JABALPUR-PP-02,0.039,10
BILASPUR-PE-02,NAGPUR-PP-04,0.201,10
BILASPUR-PE-02,RAIPUR-PP-02,0.548,10
BILASPUR-PE-03,JABALPUR-PP-02,0.02,10
BILASPUR-PE-03,NAGPUR-PP-04,0.129,10
BILASPUR-PE-03,RAIPUR-PP-02,0.433,10
BIRBHUM-PE-01,BHAGALPUR-PP-01,0,10
BIRBHUM-PE-01,DURGAPUR-PP-02,0,10
BOKARO-PE-01,RANCHI-PP-02,0.005,10
BONGAIGAON-PE-01,GUWAHATI-PP-02,0.675,10
BONGAIGAON-PE-01,SILIGURI-PP-02,0.4248,12.5
BONGAIGAON-PE-02,GUWAHATI-PP-02,0,10
BONGAIGAON-PE-02,SILIGURI-PP-02,0,10
BURDWAN-PE-01,DURGAPUR-PP-02,0.202,10
BURDWAN-PE-01,KOLKATA-PP-06,0.103,10
CALICUT-GSMPE-01,CALICUT-PP-02,0.1758,200
CALICUT-GSMPE-01,ERNAKULAM-PP-03,0,50
CALICUT-GSMPE-02,CALICUT-PP-02,0.08525,200
CALICUT-GSMPE-02,ERNAKULAM-PP-03,0,40
CALICUT-PE-02,CALICUT-PP-02,0.467142857,70
CALICUT-PE-02,ERNAKULAM-PP-03,0.152,10
CALICUT-PE-03,CALICUT-PP-02,0.40295,200
CALICUT-PE-03,ERNAKULAM-PP-03,0,10
CALICUT-PP-02,CHENNAI-PP-04,0.499076923,130
CALICUT-PP-02,CHENNAI-PP-05,0.719642857,140
CALICUT-PP-02,COIMBATORE-PP-02,0.406,10
CALICUT-PP-02,ERNAKULAM-PP-02,0.525666667,30
CALICUT-PP-02,MANGALORE-PP-02,0.371333333,30
CALICUT-PP-02,TRIVANDRUM-PP-01,0.0075,20
CHANDIGARH-GSMPE-03,CHANDIGARH-PP-03,0.45475,40
CHANDIGARH-GSMPE-03,CHANDIGARH-PP-04,0.83775,40
CHANDIGARH-GSMPE-04,CHANDIGARH-PP-03,0.3074,50
CHANDIGARH-GSMPE-04,CHANDIGARH-PP-04,0.8022,50
CHANDIGARH-GSMPE-05,CHANDIGARH-PP-03,0.34325,40
CHANDIGARH-GSMPE-05,CHANDIGARH-PP-04,0.695833333,60
CHANDIGARH-GSMPE-06,CHANDIGARH-PP-03,0.425,50
CHANDIGARH-GSMPE-06,CHANDIGARH-PP-04,0.977,50
CHANDIGARH-GSMPE-07,CHANDIGARH-PP-03,0.1593,100
