S.NO    City_Id     City_Name             Degree    Adjacent_Vertices                                           
183     183         CHENNAI-PP-05         20        81 120 137 164 165 182 185 190 244 411 425 444 481 502 523 618 668 673 697 704
184     184         CHENNAI-PP-06         37        157 158 159 160 166 167 168 170 171 172 173 174 175 176 177 178 179 180 181 182 192 269 369 422 507 508 534 555 556 557 558 559 657 658 663 690 692
185     185         CHENNAI-PP-07         42        48 157 158 159 160 167 168 169 170 171 172 173 175 176 177 178 179 180 181 183 191 192 193 210 211 369 421 507 508 555 556 557 558 559 603 657 658 665 670 690 691 692
186     186         COIMBATORE-PE-03      2         190 444                                                     
187     187         COIMBATORE-PE-04      2         190 444                                                     
188     188         COIMBATORE-PE-05      2         190 668                                                     
189     189         COIMBATORE-PP-01      1         190                                                         
190     190         COIMBATORE-PP-02      32        80 81 137 182 183 186 187 188 189 192 210 211 246 247 441 444 487 488 535 536 537 556 602 603 604 659 668 669 673 691 692 700
191     191         CUDDALORE-PE-01       2         185 668                                                     
192     192         CUDDALORE-PE-02       4         184 185 190 668                                             
193     193         CUDDAPAH-PE-01        3         185 425 697                                                 
194     194         CUTTACK-PE-01         2         120 197                                                     
195     195         CUTTACK-PE-03         2         120 197                                                     
196     196         CUTTACK-PE-04         2         120 197                                                     
197     197         CUTTACK-PP-01         21        49 55 56 113 114 115 118 119 120 182 194 195 196 212 382 383 410 411 553 607 704
198     198         DALTONGANJ-PE-01      2         553 593                                                     
199     199         DARBHANGA-PE-01       2         98 553                                                      
200     200         DEHRADUN-GSMPE-01     2         152 204                                                     
201     201         DEHRADUN-PE-01        2         42 204                                                      
202     202         DEHRADUN-PE-02        2         153 204                                                     
203     203         DEHRADUN-PE-03        2         152 204                                                     
204     204         DEHRADUN-PP-02        18        31 86 87 152 200 201 202 203 256 287 288 291 292 437 461 484 524 625
205     205         DHANBAD-PE-02         2         412 593                                                     
206     206         DHANBAD-PE-03         2         229 593                                                     
207     207         DHANBAD-PE-04         4         229 412 553 593                                             
208     208         DHARAMSHALA-PE-01     3         153 346 625                                                 
209     209         DHARAMSHALA-PE-02     2         346 625                                                     
210     210         DHARMAPURI-PE-01      2         185 190                                                     
211     211         DHARMAPURI-PE-02      3         82 185 190                                                  
212     212         DHENKANAL-PE-01       2         120 197                                                     
213     213         DHERADUN-GSMPE-01     1         152                                                         
214     214         DHULE-PE-02           2         216 645                                                     
215     215         DHULE-PE-03           3         216 482 645                                                 
216     216         DHULE-PP-01           18        20 22 26 34 35 52 53 214 215 322 347 480 501 506 575 639 643 645
217     217         DIBRUGARH-PE-01       3         220 281 633                                                 
218     218         DIMAPUR-PE-02         2         220 281                                                     
219     219         DIMAPUR-PE-03         2         220 281                                                     
220     220         DIMAPUR-PP-01         11        217 218 219 281 318 319 324 364 365 410 620                 
221     221         DUMKA-PE-01           3         98 553 593                                                  
222     222         DURG-PE-02            3         501 502 582                                                 
223     223         DURGAPUR-GSMPE-01     2         229 413                                                     
224     224         DURGAPUR-MCR-01       1         229                                                         
225     225         DURGAPUR-PE-01        1         229                                                         
226     226         DURGAPUR-PE-02        1         229                                                         
227     227         DURGAPUR-PE-03        1         229                                                         
228     228         DURGAPUR-PE-04        2         229 413                                                     
229     229         DURGAPUR-PP-02        23        51 85 93 98 128 132 206 207 223 224 225 226 227 228 354 355 382 383 410 553 593 607 633
230     230         ELURU-PE-02           2         317 697                                                     
231     231         ELURU-PE-03           2         697 704                                                     
232     232         ERNAKULAM-GSMPE-01    2         137 245                                                     
233     233         ERNAKULAM-GSMPE-02    2         137 245                                                     
234     234         ERNAKULAM-GSMPE-03    2         137 245                                                     
235     235         ERNAKULAM-GSMPE-04    2         137 245                                                     
236     236         ERNAKULAM-IGW-02      1         237                                                         
237     237         ERNAKULAM-IGWPE-02    2         236 244                                                     
238     238         ERNAKULAM-MCR-01      2         137 245                                                     
239     239         ERNAKULAM-PE-04       2         137 245                                                     
240     240         ERNAKULAM-PE-05       1         245                                                         
241     241         ERNAKULAM-PE-06       1         245                                                         
242     242         ERNAKULAM-PE-07       2         137 245                                                     
243     243         ERNAKULAM-PE-08       2         137 245                                                     
244     244         ERNAKULAM-PP-02       10        80 81 137 182 183 237 245 444 481 673                       
245     245         ERNAKULAM-PP-03       35        27 28 133 134 135 136 232 233 234 235 238 239 240 241 242 243 244 415 416 419 420 450 451 491 536 537 653 654 655 656 659 660 669 671 672
246     246         ERODE-PE-01           3         190 444 668                                                 
247     247         ERODE-PE-02           3         190 444 668                                                 
248     248         FAIZABAD-PE-01        2         265 437                                                     
249     249         FAIZABAD-PE-02        3         265 437 689                                                 
250     250         FARIDABAD-PE-02       4         7 525 526 532                                               
251     251         FARIDABAD-PE-03       3         274 525 532                                                 
252     252         FEROZPUR-PE-02        2         102 346                                                     
253     253         FEROZPUR-PE-03        2         102 346                                                     
254     254         GANDHINAGAR-PE-01     1         20                                                          
255     255         GANGTOK-PE-01         3         98 412 633                                                  
